sr,productName,wPrice,priceType,rPrice,Material
286,24 No Glass,420,PP,530,Brass
287,6 No Glass,530,PP,640,Brass
288,7 No Glass,640,PP,750,Brass
289,8 No Glass,740,PP,840,Brass
290,9 No Glass,850,PP,1060,Brass
291,Prince Glass,370,PP,420,Brass
292,Ringer Matki Glass,370,PP,420,Brass
293,Ringer V 5 No Glass,420,PP,470,Brass
294,Sheet Glass,1680,KG,2040,Brass
295,Curve Glass Small,280,PP,320,Brass
296,Curve Glass Big,300,PP,380,Brass
297,Wine Champagne Glass,480,PP,640,Brass
298,Utensils,,KG,,-
299,Packing + Forwarding,250,PP,250,-
300,Matte Glass,300,PP,380,Brass
301,Toy Set Small,2970,PP,3400,Brass
302,Toy Set Big,3180,PP,3700,Brass
303,Jug Hotel,1330,PP,1600,Brass
304,Jug Kingfisher,1430,PP,1600,Brass
305,Jug Prince Peacock,1800,PP,2100,Brass
306,Jug Prince Peacock Cover,1910,PP,2340,Brass
307,Jug Ringer,1480,PP,1800,Brass
308,Jug Ringer Matki,1480,PP,1800,Brass
309,Jug Sheet Hammered Cover Small,1430,PP,1640,Brass
310,Jug Sheet Hammered Cover Big,1640,PP,1900,Brass
311,Bottle HV Small,580,PP,740,Copper
312,Bottle HV Big,740,PP,840,Copper
313,Bottle Crown,740,PP,840,Copper
314,Bottle Doctor,690,PP,850,Copper
315,Bottle Tower,690,PP,850,Copper
316,Lily Jar / Jug,950,PP,1160,Copper
317,Rose Jar / Jug,850,PP,1060,Copper
318,Jug Two Tone Mughal Small,1640,PP,1900,Copper
319,Jug Two Tone Mughal Big,1860,PP,2100,Copper
320,Jug Two Tone Straight Small,1640,PP,1900,Copper
321,Jug Two Tone Straight Big,1860,PP,2100,Copper
322,Glass Special,2200,KG,2500,Copper
323,Glass ST,150,PP,190,Copper
324,Wine Champagne Glass,640,PP,850,Brass
325,Utensils Mix,2800,KG,3200,Kansa
326,Glass Small,500,PP,600,Kansa
327,Glass Big,800,PP,1000,Kansa
328,Spoon Baby,200,PP,250,Kansa
329,Spoon Dessert,250,PP,300,Kansa
330,Serving Spoon,900,PP,1100,Kansa
331,Thali Khumcha 8-14,1380,KG,1600,Brass
332,Thali Khumcha 15-20,1460,KG,1640,Brass
333,Thali Khumcha 20 and above,1560,KG,1700,Brass
334,ST Dalda,1300,KG,1600,Brass
335,Jali Thali,1270,KG,1500,Brass
336,Pan Thal,1480,KG,1800,Brass
337,Matte Thali Wati,1380,KG,1520,Brass
338,Liner,1530,KG,1700,Brass
339,Rectangular Oval Tray,1530,KG,1700,Brass
340,Dana Plate,1530,KG,1840,Brass
341,Dana Plate,1650,KG,1860,Copper
342,China Plate,1430,KG,1700,Brass
343,Designer Plate,1930,KG,2240,Brass
344,Plate Pandu,1550,KG,2040,Copper
345,Tray,1950,KG,2240,Copper
346,Tray Without Dana,1950,KG,2240,Copper
347,Bhojan Patra,1530,KG,1700,Brass
348,Thali Plain Base,1800,KG,2040,Copper
349,Thali 10-14,1800,KG,2040,Copper
350,Thali Big,2050,KG,2240,Copper
351,Banana Leaf Thali,1530,KG,1800,Brass
352,Maharaja Thali,1700,KG,1700,Brass
353,Swastik Thali,1530,KG,1700,Brass
354,Thali / Bowl Rose,1580,KG,1740,Brass
355,Thali Set Sanskriti Glossy,2300,PP,2700,Brass
356,Massager Small,700,PP,900,Kansa
357,Massager Medium,800,PP,1000,Kansa
358,Massager Double Head,900,PP,1200,Kansa
359,Massage Wati,400,PP,500,Kansa
360,Handmade,4000,KG,4600,Kansa
361,Set Pure,5500,PP,6300,Kansa
362,Handmade Maharaja Thali 16 inch,4000,KG,4400,Kansa
363,Serving Bowl Handmade,2600,KG,3000,Kansa
364,Glass Small Handmade,600,PP,700,Kansa
365,Glass Big Handmade,800,PP,1000,Kansa
366,Set Plain,2900,PP,3200,Kansa
367,Set Laser,3000,PP,3400,Kansa
368,Lotus Bowl,1600,KG,1850,Brass
369,Bowl Small Special,600,PP,800,Kansa
370,Donga Small Special,3800,PP,4400,Kansa
371,Hammered Lota 0,1430,KG,1600,Brass
372,Hammered Lota 1-3,1380,KG,1640,Brass
373,Nakshi Lota 0,1380,KG,1640,Brass
374,Nakshi Lota 1-4,1330,KG,1640,Brass
375,Halwa Lota,1170,KG,1600,Brass
376,Japani Lota 300 g,640,PP,750,Brass
377,Japani Lota 400 g,690,PP,850,Brass
378,Japani Lota 500 g,800,PP,960,Brass
379,Japani Lota 600 g,1010,PP,1160,Brass
380,Japani Lota 700 g,1220,PP,1400,Brass
381,Japani Lota 900 g,1430,PP,1600,Brass
382,Japani Lota 1 kg,1700,PP,2000,Brass
383,Japani Lota 1.25 kg,1910,PP,2500,Brass
384,Japani Lota 2 kg,3070,PP,3600,Brass
385,Hammered Lota 8,530,PP,640,Copper
386,Hammered Lota 9,640,PP,750,Copper
387,Lota Box 1,400,PP,470,Brass
388,Lota Box 2,450,PP,540,Brass
389,Lota Box 3,530,PP,640,Brass
390,Lota Box 4,580,PP,740,Brass
391,Lota Box 5,690,PP,850,Brass
392,Lota with Lid (Shambhu Lota),950,PP,1160,Brass
393,Plain Lota,1330,KG,1520,Brass
394,Sheet Lota J,1630,KG,1840,Brass
395,Handmade Lota,950,PP,1200,Kansa
396,Bell,850,PP,1000,Kansa
397,Hammered Spoon Coffee,60,PP,70,Brass
398,Hammered Spoon Tea,70,PP,80,Brass
399,Hammered Spoon Baby,80,PP,90,Brass
400,Hammered Spoon Dessert,90,PP,100,Brass
